,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
0,39.0,0.0,0.0,0.0,0.0,0.0,False
1,24.0,109.0,9.0,25.0,549.0,44.0,True
2,58.0,43.0,3576.0,0.0,6715.0,49.0,False
3,33.0,0.0,1283.0,371.0,3329.0,193.0,False
4,16.0,303.0,70.0,151.0,565.0,2.0,True
5,44.0,0.0,483.0,0.0,291.0,0.0,True
6,26.0,42.0,1539.0,3.0,0.0,0.0,True
7,28.0,0.0,0.0,0.0,0.0,0.0,True
8,35.0,0.0,785.0,17.0,216.0,0.0,True
9,14.0,0.0,0.0,0.0,0.0,0.0,True
10,34.0,0.0,0.0,0.0,0.0,0.0,True
11,45.0,39.0,7295.0,589.0,110.0,124.0,True
12,32.0,73.0,0.0,1123.0,0.0,113.0,True
13,48.0,719.0,1.0,65.0,0.0,24.0,False
14,28.0,8.0,974.0,12.0,2.0,7.0,True
15,31.0,32.0,0.0,876.0,0.0,0.0,False
16,27.0,1286.0,122.0,0.0,0.0,0.0,False
17,24.0,0.0,1.0,0.0,0.0,637.0,False
18,45.0,0.0,0.0,0.0,0.0,0.0,True
19,0.0,0.0,0.0,0.0,0.0,0.0,True
20,14.0,412.0,0.0,1.0,0.0,679.0,False
21,1.0,0.0,0.0,0.0,0.0,0.0,False
22,49.0,0.0,0.0,0.0,0.0,0.0,False
23,29.0,0.0,0.0,0.0,0.0,0.0,False
24,10.0,0.0,0.0,0.0,0.0,0.0,True
25,1.0,0.0,0.0,0.0,0.0,0.0,False
26,7.0,0.0,0.0,0.0,0.0,0.0,False
27,21.0,980.0,2.0,69.0,0.0,0.0,False
28,62.0,0.0,0.0,0.0,0.0,0.0,True
29,15.0,0.0,225.0,0.0,998.0,0.0,False
30,34.0,22.0,6073.0,0.0,1438.0,328.0,False
31,43.0,1125.0,0.0,136.0,48.0,0.0,False
32,32.0,0.0,850.0,81.0,437.0,453.0,False
33,47.0,214.0,0.0,1411.0,0.0,1229.0,True
34,2.0,0.0,0.0,0.0,0.0,0.0,True
35,20.0,0.0,0.0,1750.0,990.0,0.0,True
36,28.0,0.0,0.0,0.0,0.0,0.0,True
37,23.0,784.0,964.0,0.0,951.0,0.0,False
38,15.0,0.0,492.0,48.0,20.0,401.0,False
39,20.0,554.0,195.0,0.0,2606.0,0.0,False
40,30.0,0.0,0.0,0.0,0.0,0.0,False
41,17.0,0.0,0.0,0.0,0.0,0.0,True
42,45.0,0.0,164.0,45.0,2511.0,855.0,False
43,55.0,0.0,0.0,0.0,0.0,0.0,False
44,4.0,0.0,0.0,0.0,0.0,0.0,True
45,21.0,0.0,0.0,0.0,0.0,0.0,True
46,21.0,970.0,0.0,180.0,0.0,64.0,False
47,19.0,0.0,0.0,0.0,0.0,0.0,True
48,35.0,790.0,0.0,0.0,0.0,0.0,False
49,56.0,0.0,112.0,0.0,1379.0,127.0,False
50,0.0,4.0,0.0,2.0,4683.0,0.0,False
51,25.0,0.0,0.0,1938.0,0.0,1.0,True
52,2.0,0.0,0.0,0.0,0.0,0.0,True
53,38.0,0.0,0.0,0.0,0.0,0.0,True
54,27.0,279.0,605.0,3374.0,286.0,3.0,True
55,36.0,0.0,0.0,0.0,0.0,0.0,False
56,22.0,45.0,1096.0,148.0,1377.0,1.0,False
57,62.0,0.0,592.0,0.0,17.0,25.0,False
58,15.0,0.0,0.0,0.0,0.0,0.0,True
59,33.0,0.0,0.0,0.0,0.0,0.0,True
60,62.0,1.0,153.0,197.0,0.0,460.0,False
61,0.0,0.0,0.0,0.0,0.0,0.0,True
62,18.0,1.0,258.0,446.0,0.0,0.0,True
63,21.0,1946.0,37.0,0.0,0.0,24.0,False
64,0.0,793.0,0.0,2.0,253.0,0.0,False
65,42.0,887.0,0.0,9.0,6.0,0.0,True
66,19.0,190.0,0.0,5.0,1.0,726.0,False
67,17.0,16.0,2165.0,0.0,0.0,52.0,False
68,14.0,0.0,1.0,0.0,0.0,1063.0,False
69,37.0,46.0,83.0,738.0,0.0,12.0,False
70,42.0,1.0,8397.0,0.0,0.0,506.0,True
71,27.0,147.0,0.0,1018.0,0.0,0.0,True
72,28.0,14.0,0.0,1295.0,0.0,0.0,True
73,38.0,0.0,5840.0,0.0,321.0,9654.0,False
74,13.0,0.0,0.0,0.0,0.0,0.0,False
75,42.0,7406.0,0.0,0.0,0.0,0.0,False
76,2.0,0.0,0.0,0.0,0.0,0.0,True
77,8.0,0.0,0.0,0.0,0.0,0.0,True
78,24.0,688.0,0.0,0.0,0.0,17.0,True
79,40.0,0.0,0.0,0.0,0.0,0.0,True
80,43.0,211.0,0.0,0.0,638.0,513.0,False
81,45.0,0.0,0.0,0.0,0.0,0.0,True
82,35.0,0.0,0.0,0.0,0.0,0.0,True
83,26.0,0.0,0.0,0.0,0.0,0.0,True
84,27.0,1.0,697.0,31.0,188.0,0.0,False
85,19.0,0.0,0.0,670.0,1.0,34.0,False
86,0.0,0.0,0.0,0.0,0.0,0.0,True
87,3.0,0.0,0.0,0.0,0.0,0.0,True
88,54.0,0.0,1208.0,0.0,3.0,637.0,False
89,26.0,0.0,856.0,5.0,32.0,0.0,False
90,26.0,0.0,2811.0,957.0,0.0,87.0,True
91,23.0,311.0,427.0,526.0,37.0,0.0,False
92,2.0,0.0,0.0,0.0,0.0,0.0,True
93,31.0,0.0,0.0,0.0,0.0,0.0,True
94,18.0,0.0,0.0,0.0,830.0,91.0,False
95,24.0,0.0,0.0,0.0,0.0,17.0,True
96,9.0,0.0,0.0,0.0,0.0,0.0,True
97,6.0,0.0,0.0,0.0,0.0,0.0,False
98,27.0,0.0,0.0,570.0,2.0,131.0,False
99,21.0,1743.0,5.0,17.0,0.0,0.0,False
100,23.0,0.0,0.0,0.0,0.0,0.0,False
101,31.0,562.0,0.0,326.0,0.0,0.0,False
102,0.0,0.0,0.0,0.0,0.0,0.0,True
103,32.0,0.0,410.0,6.0,3929.0,764.0,False
104,40.0,0.0,331.0,0.0,0.0,1687.0,False
105,42.0,2209.0,11418.0,0.0,1868.0,445.0,True
106,28.0,0.0,0.0,0.0,0.0,0.0,True
107,29.0,0.0,0.0,0.0,0.0,0.0,True
108,48.0,0.0,2537.0,87.0,17.0,13.0,True
109,64.0,0.0,0.0,804.0,0.0,0.0,True
110,27.0,82.0,157.0,429.0,238.0,1.0,False
111,26.0,0.0,0.0,0.0,0.0,0.0,True
112,33.0,1.0,2223.0,0.0,12.0,404.0,True
113,39.0,0.0,2344.0,0.0,65.0,6898.0,False
114,13.0,0.0,0.0,0.0,0.0,0.0,True
115,24.0,0.0,0.0,0.0,0.0,0.0,True
116,29.0,0.0,0.0,0.0,699.0,74.0,False
117,18.0,55.0,597.0,49.0,0.0,1.0,False
118,67.0,0.0,0.0,0.0,0.0,0.0,True
119,35.0,701.0,0.0,296.0,0.0,25.0,False
120,61.0,2353.0,334.0,9.0,316.0,2.0,False
121,45.0,2103.0,6.0,0.0,0.0,0.0,False
122,22.0,0.0,0.0,0.0,0.0,0.0,True
