,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,Group_enc,GroupSize
0,39.0,0.0,0.0,0.0,0.0,0.0,0,0001,0.5035950532067874,1
1,24.0,109.0,9.0,25.0,549.0,44.0,1,0002,0.5035950532067874,1
2,58.0,43.0,3576.0,0.0,6715.0,49.0,0,0003,0.4444115532625703,2
3,33.0,0.0,1283.0,371.0,3329.0,193.0,0,0003,0.4443485763589301,2
4,16.0,303.0,70.0,151.0,565.0,2.0,1,0004,0.503666427030913,1
5,44.0,0.0,483.0,0.0,291.0,0.0,1,0005,0.5035950532067874,1
6,26.0,42.0,1539.0,3.0,0.0,0.0,1,0006,0.5619956351824595,2
7,28.0,0.0,0.0,0.0,0.0,0.0,1,0006,0.5619956351824595,2
8,35.0,0.0,785.0,17.0,216.0,0.0,1,0007,0.5035950532067874,1
9,14.0,0.0,0.0,0.0,0.0,0.0,1,0008,0.6081577055507208,3
10,34.0,0.0,0.0,0.0,0.0,0.0,1,0008,0.6081013577948322,3
11,45.0,39.0,7295.0,589.0,110.0,124.0,1,0008,0.6081013577948322,3
12,32.0,73.0,0.0,1123.0,0.0,113.0,1,0009,0.5035950532067874,1
13,48.0,719.0,1.0,65.0,0.0,24.0,0,0010,0.5035950532067874,1
14,28.0,8.0,974.0,12.0,2.0,7.0,1,0011,0.5035950532067874,1
15,31.0,32.0,0.0,876.0,0.0,0.0,0,0012,0.5035950532067874,1
16,27.0,1286.0,122.0,0.0,0.0,0.0,0,0014,0.5035950532067874,1
17,24.0,0.0,1.0,0.0,0.0,637.0,0,0015,0.5035950532067874,1
18,45.0,0.0,0.0,0.0,0.0,0.0,1,0016,0.503666427030913,1
19,0.0,0.0,0.0,0.0,0.0,0.0,1,0017,0.4443485763589301,2
20,14.0,412.0,0.0,1.0,0.0,679.0,0,0017,0.5620586120860998,2
21,1.0,0.0,0.0,0.0,0.0,0.0,0,0020,0.4153880781783396,6
22,49.0,0.0,0.0,0.0,0.0,0.0,0,0020,0.4153880781783396,6
23,29.0,0.0,0.0,0.0,0.0,0.0,0,0020,0.4153880781783396,6
24,10.0,0.0,0.0,0.0,0.0,0.0,1,0020,0.30219985621854784,6
25,1.0,0.0,0.0,0.0,0.0,0.0,0,0020,0.38215703192407247,6
26,7.0,0.0,0.0,0.0,0.0,0.0,0,0020,0.4153880781783396,6
27,21.0,980.0,2.0,69.0,0.0,0.0,0,0022,0.5035950532067874,1
28,62.0,0.0,0.0,0.0,0.0,0.0,1,0024,0.503666427030913,1
29,15.0,0.0,225.0,0.0,998.0,0.0,0,0025,0.5035950532067874,1
