,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,VIP,CryoSleep,Europa,Mars,PSO J318.5-22,TRAPPIST-1e,S,Age,GroupSize,Transported
0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,39.0,1,False
1,109.0,9.0,25.0,549.0,44.0,0,0,0,0,0,1,1,24.0,1,True
2,43.0,3576.0,0.0,6715.0,49.0,1,0,1,0,0,1,1,58.0,2,False
3,0.0,1283.0,371.0,3329.0,193.0,0,0,1,0,0,1,1,33.0,2,False
4,303.0,70.0,151.0,565.0,2.0,0,0,0,0,0,1,1,16.0,1,True
5,0.0,483.0,0.0,291.0,0.0,0,0,0,0,1,0,0,44.0,1,True
6,42.0,1539.0,3.0,0.0,0.0,0,0,0,0,0,1,1,26.0,2,True
7,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,28.0,2,True
8,0.0,785.0,17.0,216.0,0.0,0,0,0,0,0,1,1,35.0,1,True
9,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,14.0,3,True
10,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,34.0,3,True
11,39.0,7295.0,589.0,110.0,124.0,0,0,1,0,0,0,0,45.0,3,True
12,73.0,0.0,1123.0,0.0,113.0,0,0,0,1,0,1,0,32.0,1,True
13,719.0,1.0,65.0,0.0,24.0,0,0,0,0,0,1,1,48.0,1,False
14,8.0,974.0,12.0,2.0,7.0,0,0,0,0,0,1,0,28.0,1,True
15,32.0,0.0,876.0,0.0,0.0,0,0,0,0,0,1,1,31.0,1,False
16,1286.0,122.0,0.0,0.0,0.0,0,0,0,1,0,0,0,27.0,1,False
17,0.0,1.0,0.0,0.0,637.0,0,0,0,0,0,0,0,24.0,1,False
18,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,45.0,1,True
19,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0.0,2,True
20,412.0,0.0,1.0,0.0,679.0,0,0,0,0,0,0,0,14.0,2,False
21,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,1.0,6,False
22,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,49.0,6,False
23,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,29.0,6,False
24,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,10.0,6,True
25,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,1.0,6,False
26,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,7.0,6,False
27,980.0,2.0,69.0,0.0,0.0,0,0,0,1,0,1,0,21.0,1,False
28,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,62.0,1,True
29,0.0,225.0,0.0,998.0,0.0,0,0,0,0,0,1,1,15.0,1,False
30,22.0,6073.0,0.0,1438.0,328.0,0,0,1,0,0,0,0,34.0,1,False
31,1125.0,0.0,136.0,48.0,0.0,0,0,0,1,0,1,0,43.0,1,False
32,0.0,850.0,81.0,437.0,453.0,0,0,0,0,0,1,1,32.0,1,False
33,214.0,0.0,1411.0,0.0,1229.0,0,0,0,1,0,1,0,47.0,3,True
34,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,2.0,3,True
35,0.0,0.0,1750.0,990.0,0.0,0,0,0,1,0,1,0,20.0,3,True
36,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,28.0,1,True
37,784.0,964.0,0.0,951.0,0.0,0,0,0,1,0,0,0,23.0,1,False
38,0.0,492.0,48.0,20.0,401.0,0,0,0,0,0,0,1,15.0,1,False
39,554.0,195.0,0.0,2606.0,0.0,0,0,0,0,0,0,1,20.0,1,False
40,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,30.0,1,False
41,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,17.0,1,True
42,0.0,164.0,45.0,2511.0,855.0,0,0,1,0,0,1,0,45.0,1,False
43,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,55.0,3,False
44,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,4.0,3,True
